place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
En Kirke	En Kirke	kirken på Piazza Navona er Sant’ Agnese in Agone, der formodentlig er bygget i 700-tallet og ombygget i 1672.	1842	1842	14	En Digters Bazar	318	1	v14:318 (1842)	high	head-noun+located+place-type+split-ellipsis	
Erzgebirge	Erzgebirge	bjergkæde på grænsen mellem Tyskland og Tjekkiet.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	155	1	v14:155 (1831)	high	head-noun+located+place-type	
Escorial	Escurial(s)	Escorial, by ca. 50 km nordvest for Madrid med et storslået slots- og klosteranlæg, bygget 1563-1584 for Filip 2.	1836	1836	11	Skilles og mødes	177	1	v11:177 (1836)	medium	located+place-type	
Estrella	Estrella	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
Etna	Ætna	Etna, vulkan på Sicilien; se kort. ¶ Etna; vulkan på Sicilien.	1842	1842 1855	14 17	En Digters Bazar	228	2	v14:228 (1842); v17:216 (1855)	high	se-kort+head-noun+located+place-type	
Ettersburg	Ettersburg	jagtslottet Schloß Ettersburg i Thüringerwald nordvest for Weimar.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	278	1	v17:278 (1855)	high	head-noun+place-type	
Euphrat	Euphrat	floden Eufrat udsprang if. 1. Mosebog 2, 1014 i Edens have, som Adam og Eva efter syndefaldet blev uddrevet af (1. Mosebog 3,16-24); jf. evt. også 2. Krønikebog 35,20-25. ¶ flod i det nuværende Irak, som det vidtstrakte osmanniske rige også omfattede.	1842	1842	12 14	En Digters Bazar	482	2	v14:482 (1842); v12:270 ()	high	head-noun+place-type	
Evia	Euboea(s)	Evia, se note til s. 311.	1842	1842	14	En Digters Bazar	421	1	v14:421 (1842)	high	in-register	
Evrotas	Eurotas	Evrotas, flod; se kort; også navnet på Lakedaimons forgænger.	1842	1842	14	En Digters Bazar	376	1	v14:376 (1842)	high	se-kort	
Eyemouth	Eymouth	Eyemouth, fiskerhavn på Skotlands østkyst.	1832	1832	10	Bruden fra Lammermoor	175	1	v10:175 (1832)	medium	located+place-type	
FabrikenFabrikken	FabrikenFabrikken	Silkeborg Papirfabrik.	1857	1857	6	»At være eller ikke være«	39	1	v6:39 (1857)	high	head-noun+place-type	
Fahlun	Fahlun(s) | Fahlun	by i Dalarne, Sverige. ¶ by i Dalarne, Sverige, hvor Fodreise blev udgivet 1841 af P.A. Huldbergs Forlag i samlingen »Danske Klassiker«.	1850	1850 1855	1 17	Fugl Phønixifølge græsk mytologi en fugl, som efter en vis tid brænder sig selv op, men derpå genopstår af sin egen aske.Fugl Phønix	488	2	v1:488 (1850); v17:80 (1855)	high	head-noun+located+place-type+split-ellipsis	
Fallerslebertor	Falleberthor	Fallerslebertor, byport (nu nedlagt) og bro over Okerfloden i Braunschweig.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	92	1	v14:92 (1831)	high	in-register+place-type	
Falun	Fahlun(s) | Fahlun	Falun; se kort 1-2.	1851	1851	15	I Sverrig	22	2	v15:22 (1851); v15:108 (1851)	high	se-kort	
Familien	Familien	Borreby ejedes af cand.jur. Adolph Frederik Holten Castenschiold, gift med en datter af den unge H.C. Andersens velgører, notarius publicus, etatsraad G.H. Olsen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+place-type	
Feen	Feen	ifølge en legende boede feen Morgana i et krystalslot under vandet ved Messinastrædet; hun har givet navn til de optiske bedrag eller luftspejlinger, som går under navnet fata Morgana, og som hun havde magiske kræfter til at skabe.	1842	1842	11	Fuglen i Pæretræet	541	1	v11:541 (1842)	medium	located+place-type+split-ellipsis	
Ferrara	Ferrara	by på Posletten.	1835	1835	4	Improvisatoren	335	1	v4:335 (1835)	high	head-noun+located+place-type	
Fezzan	Fezzan(s)	provins i Libyen.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	387	1	v9:387 (1840)	high	head-noun+located+place-type	
Figueras	Figueras	se kort.	1863	1863	15	I Spanien	223	1	v15:223 (1863)	high	se-kort	
Finderup	Finnerup	Finderup; by sydvest for Viborg.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	429	1	v7:429 (1833)	high	head-noun+located+place-type	
Firenze	Florents	Firenze; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
Fjaltring	Fjaltring	landsby syd for Bovbjerg.	1860	1860	2	En Historie fra Klitterne	311	1	v2:311 (1860)	high	head-noun+located+place-type	
Flensborg	Flensborg	den sønderjyske købstad, som dengang var dansk, og hvis indbyggere i hovedsagen var dansksindede op til 1848, var kommet godt på fode efter krigen 1807-1814; efter 1848 gik det tilbage for byen.	1842	1842	11	Fuglen i Pæretræet	550	1	v11:550 (1842)	high	head-noun+place-type+split-ellipsis	
Florentin	Florentin	se kort.	1842	1842	14	En Digters Bazar	519	1	v14:519 (1842)	high	in-register+se-kort	geo-731593
Florents	Florents	tysk for Firenze; se kort.	1861	1861	15	Dagbladet	215	1	v15:215 (1861)	high	se-kort	
Fluvia	Fluvia	se kort.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	high	se-kort	
Fokaia	Fokaia	Fokaia; se kort; jonisk (oldgræsk folk i centrale Lilleasien, nuværende Tyrkiet) bystat, hvis indbyggere bl.a. skabte kolonien Massalia (senere Marseille) ca. 600 f.Kr.	1842	1842	14	En Digters Bazar	444	1	v14:444 (1842)	high	se-kort	
Foligno	Foligno	den mellemitalienske by Foligno (Fuligno).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	high	head-noun+place-type	
Fondi	Fondi	mindre by syd for Terracina. ¶ se kort.	1835	1835 1842	4 14	Improvisatoren	206	2	v4:206 (1835); v14:340 (1842)	high	in-register+head-noun+located+place-type+se-kort	geo-3176843
Forli	Forli	se kort.	1842	1842	14	En Digters Bazar	293	1	v14:293 (1842)	high	se-kort	
Fort	Fort	et slot med fæstningsværker blev bygget i 300-tallet på Kadifekale-bjerget, men de eksisterende ruiner er fra middelaladeren.	1842	1842	14	En Digters Bazar	441	1	v14:441 (1842)	high	head-noun+located+place-type+split-ellipsis	
Forum	Forum	torv, her måske: mødeplads. ¶ (latin) torv, forsamlingsplads.	1842	1842	14	En Digters Bazar	285	2	v14:285 (1842); v14:520 (1842)	high	head-noun+place-type	
Fos	Fos(sens)	vandfald.	1822	1822	9	Ungdoms-Forsøg	80	1	v9:80 (1822)	high	head-noun+place-type	
Frascati	Frascati	by 21 km sydøst for Rom.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	137	1	v17:137 (1855)	high	head-noun+located+place-type	
Fraskati	Fraskati	by tæt ved Tusculum.	1835	1835	4	Improvisatoren	189	1	v4:189 (1835)	high	head-noun+located+place-type	
Fredensborg	Fredensborg	Fredensborg Slot eller by. ¶ Fredensborg Slotskirke. ¶ kongeligt residensslot opført af Frederik 4. (1671-1736, konge fra 1699) i 1720-1726 og udbygget i flere omgange frem til 1770’erne.	1826	1826 1860	8 9 14	Nyeste Skilderie af Kjøbenhavn	48	3	v14:48 (1826); v9:459 (1860); v8:453 ()	high	in-register+head-noun+place-type	geo-2621956
Fredericia	Fredericia	den første danske by, hvortil indvandrede jøder fik adgang (fra 1600-tallet). ¶ slesvigholstenerne indesluttede byen efter slaget ved Kolding, mens rigstropperne forfulgte general Olaf Rye nordpå.	1837	1837 1857	5 6	Kun en Spillemand	31	2	v5:31 (1837); v6:198 (1857)	high	head-noun+place-type+located	
Frederiksborg	Frederiksborg	slot ved Hillerød i Nordsjælland. Dets ældste del er opført i 1560 af Frederik 2. (1534-1588, konge fra 1559), men hovedparten er bygget 1600-1620 under Christian 4 (1577-1648, konge fra 1588).	1826	1826	14	Nyeste Skilderie af Kjøbenhavn	48	1	v14:48 (1826)	high	head-noun+located+place-type	
Frederiksborg Slot	Frederiksborg | Frederiksborg Slot	Frederiksborg Slot, tidligere konge- og jagtslot ved Hillerød nord for København; erhvervet af Frederik 2. (1534-1588; konge fra 1559), 1602-1625 lod Christian 4. de gamle bygninger nedrive og det nuværende slot opføre. ¶ Frederiksborg Slot brændte natten mellem den 16. og 17. december 1859.	1829	1829 1869	9 18	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	182	2	v9:182 (1829); v18:223 (1869)	high	head-noun+located+place-type+in-register	geo-2621938
Frederikshavn	Fladstrand	Frederikshavn, hvor H.C. Andersen opholdt sig 11.-16. august.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	217	1	v18:217 (1869)	high	head-noun+place-type	
Frederikssteens	Frederikssteens	fæstningen i Frederikshald (nu Halden, Norge), hvor Karl 12. faldt 1718.	1836	1836	4	O. T.	391	1	v4:391 (1836)	high	head-noun+located+place-type+split-ellipsis	
Frederikssteens Fæstning	Frederikssteens Fæstning	fæstningen i Frederikshald (nu Halden, Norge).	1836	1836	4	O. T.	520	1	v4:520 (1836)	high	head-noun+located+place-type	
Freiburg	Freiburg	Freibourg eller Fribourg, by i det vestlige Schweiz ved floden Saane; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
Frijsenborg	Frijsenborg	hovedgård og gods ved Hammel, nordvest for Århus. ¶ hovedgård 2 km nordøst for Hammel ejet af konseilspræsident, lensgreve C.E. Krag-Juel-Vind-Frijs. H.C. Andersen opholdt sig her 12.-30. juni og igen 8.-15. juli.	1868	1868 1869	3 18	Bemærkninger	389	2	v3:389 (1868); v18:282 (1869)	high	head-noun+located+place-type	
Frue Kirke	Frue Kirke	Vor Frue Kirke i Odense.	1832	1832	16	Levnedsbog	64	1	v16:64 (1832)	medium	located+place-type	
Frøkenklosteret	Frøkenklosteret	Odense Adelige Jomfrukloster (Karen Brahes Kloster).	1836	1836	4	O. T.	587	1	v4:587 (1836)	high	head-noun+place-type	
Fusina	Fusina	kystby på fastlandet vest for Venezia.	1835	1835 1855	4 17	Improvisatoren	346	2	v4:346 (1835); v17:155 (1855)	high	head-noun+located+place-type	
Fyrisaa	Fyrisaa	å, der løber igennem Uppsala og ud i Mälaren.	1851	1851	15	I Sverrig	69	1	v15:69 (1851)	high	head-noun+located+place-type	
Fædreneborg	Fædreneborg	gehejmestatsminister A.C.P. Rantzaus borg syd for Itzehoe i Slesvig-Holsten, hvor H.C. Andersens var på besøg i både 1840, 1843 og 1844.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	207	1	v17:207 (1855)	medium	located+place-type+split-ellipsis	
Fæstning	Fæstning	fæstningen i Frederikshald (nu Halden, Norge), hvor Karl 12. faldt 1718. ¶ København var omgivet af volde med porte indtil 1857.	1836	1836 1849	4 5	O. T.	391	2	v4:391 (1836); v5:445 (1849)	high	head-noun+located+place-type+split-ellipsis	
Fæstningen	Fæstningen	fæstningen på Ada Kaleh blev bygget af østrigerne i slutningen af 1600-tallet, men var på tyrkiske hænder 1738-1878.	1842	1842	14	En Digters Bazar	526	1	v14:526 (1842)	high	head-noun+located+place-type	
Fündüklu	Fündüklu	eller Fundukli, forstad ca. 4 km nordøst for Pera.	1842	1842	14	En Digters Bazar	490	1	v14:490 (1842)	medium	located+place-type	
Gailingen	Gailingen	by ca. 8 km øst for Schaffhausen; se kort.	1842	1842	14	En Digters Bazar	240	1	v14:240 (1842)	high	se-kort+head-noun+located+place-type	
Galata	Galata	bydel på højre side af det Gyldne Horn.	1842	1842	14	En Digters Bazar	455	1	v14:455 (1842)	high	in-register+head-noun+place-type	geo-747059
Galati	Galatz	Galati, østrumænsk havneby på Donaus nord-‚ bred; se kort.	1842	1842	14	En Digters Bazar	485	1	v14:485 (1842)	high	se-kort+located+place-type	
Galipoli	Galipoli	Gallipoli (tyrkisk Gelibolu), se kort.	1842	1842	14	En Digters Bazar	451	1	v14:451 (1842)	high	se-kort	
Gallipoli	Gallipoli	den tyrkiske havneby Gelibolu på den europæiske side af Dardanellerne.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	high	head-noun+place-type	
Gammelholm	Gammel Holm	Gammelholm; bydel i København beliggende på det tidligere Bremerholm ud mod Amager.	1832	1832	16	Levnedsbog	84	1	v16:84 (1832)	high	head-noun+located+place-type	
Gammeltorv	Gammeltorv	Gammeltorv, hvor springvandet på de kongelige fødselsdage springer med ‘guldæbler’, dvs. forgyldte kugler, som hviler på springvandets stråler.	1837	1837	5	Kun en Spillemand	111	1	v5:111 (1837)	high	head-noun+place-type	
Ganges	Ganges	hellig flod i Indien.	1833	1833 1837	5 7	Den femte Mai (1821)	442	2	v7:442 (1833); v5:188 (1837)	medium	located+place-type	
Garnisons-Kirken	Garnisons-Kirken	på Sankt Annæ Plads i København, færdigopført 1706.			8	(untitled)	452	1	v8:452 ()	medium	located+place-type	
Garnisonspladsen	Garnisonspladsen	nu Skt. Annæ Plads (ved Garnisonskirken, Den Herre Zebaoths Kirke). Pladsen var planlagt sammen med den øvrige Frederiksstad (omkring Amalienborg) 1750, men blev først beplantet 1852; skildringen må sigte til forholdene kort forinden. ¶ Sankt Annæ Plads i København.	1857	1857	6 8	»At være eller ikke være«	131	2	v6:131 (1857); v8:534 ()	medium	located+place-type	
Gehenna	Gehenna	navn på en klippedal syd for Jerusalem; den betragtedes som et urent sted og de usaliges pinested efter døden.			12	AhasverusDen evige Jøde, Jerusalems Skomager, skikkelse fra et middelalderligt sagn, ofte behandlet i dansk litteratur på H.C. Andersens tid. If. sagnet slog Ahasverus Jesus, da denne var på vej til korsfæstelsen på Golgathabjerget; derfor må han vandre fredløs om i verden til evig tid uden at kunne dø. En dansk bearbejdelse, 1607, af en tysk folkebog om Ahasverus fra 1602 er gået tabt; en dansk udgave fra 1631 er bevaret. En almuevise om Ahasverus stammer formentlig fra 1700-tallets første del.Ahasverus	316	1	v12:316 ()	medium	located+place-type	
Genfersøen	Genfersøen(s)	Genève søen, Lac Léman.	1868	1868	15	Et Besøg i Portugal 1866	468	1	v15:468 (1868)	high	head-noun+place-type	
Genil	Xenils	Genil, Jenil; flod (og dal, Valle del Genil) i udkanten af Sierra Nevada ved Granada.			8	Digte fra Spanien	342	1	v8:342 ()	high	head-noun+place-type	
Genova	Genua	Genova, italiensk havneby ved Det Liguriske Hav.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	medium	located+place-type	
Genua	Genua	stor handels- og havneby, tidligere selvstændig republik, 1814-1861 del af kongeriget Sardinien; se kort; jf. Dagbøger I, s.191-197.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1	v15:490 (1870)	high	se-kort+place-type	
Genzano di Roma	Genzano	Genzano di Roma, godt 2 km sydøst for Ariccia; se kort.	1842	1842	14	En Digters Bazar	338	1	v14:338 (1842)	high	se-kort	geo-3176203
Gernrode	Gernrode	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	123	1	v14:123 (1831)	high	in-register+se-kort	geo-2920999
Gibraltar	Gibraltar	se kort. H.C. Andersen opholdt sig her 30. oktober-2. november 1862.	1863	1863	15	I Spanien	322	1	v15:322 (1863)	high	se-kort	
Gifhorn	Gifhorn	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	88	1	v14:88 (1831)	high	in-register+se-kort	geo-2920478
Gisselfeld	Gisselfeldt	Gisselfeld, hovedgård fra middelalderen 14 km nordøst for Næstved. ¶ Gisselfeld; herregård ved Haslev på Sjælland. ¶ Gisselfeld, hovedgård nordøst for Næstved, testamenteredes 1701 til Gisselfeld Adelige Jomfrukloster; klosterets leder har siden været et medlem af slægten Danneskiold-Samsøe.	1839	1839 1855 1863	3 7 8 17	Sang afsjunget ved Deres kongelige Høiheder Prinds Christians og Prindsesse Caroline Amalies Møde paa Gisselfeldt den 30 August 1839	561	4	v7:561 (1839); v17:233 (1855); v3:372 (1863); v8:31 ()	high	located+place-type+head-noun	
Gisselfeldt	Gisselfeldt	herregård ved Haslev på Sjælland. ¶ hovedgård på Sjælland 14 km nordøst for Haslev.	1846	1846 1849	5 16	Mit eget Eventyr uden Digtning	261	2	v16:261 (1846); v5:444 (1849)	high	head-noun+located+place-type	
Giurgiu	Giurgevo	Giurgiu; se kort.	1842	1842	14	En Digters Bazar	512	1	v14:512 (1842)	high	se-kort	geo-677106
Gjødvad	Gjødvad	landsby øst for Silkeborg.	1857	1857	6	»At være eller ikke være«	43	1	v6:43 (1857)	high	head-noun+located+place-type	
Glorup	Glorup	hovedgård i Gudme Herred, 13 km syd for Nyborg; ejeren var geheimekonferensråd, grev Gebhard Moltke-Hvitfeldt; H.C. Andersen besøgte gården 1. gang 1839, siden 23 gange.	1846	1846	16	Mit eget Eventyr uden Digtning	245	1	v16:245 (1846)	high	head-noun+located+place-type	
Glorup i Fyen	Glorup i Fyen	hovedgård fra middelalderen syd for Nyborg.	1863	1863	3	Bemærkninger	376	1	v3:376 (1863)	high	head-noun+located+place-type	
Goa	Goa	førende handelsby på Malabarkysten, nu kun ruinby.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	high	head-noun+located+place-type	
Gobulaza	Gobulaza	Golubacz (se kort), fæstning, hvis ældste dele går tilbage til romertiden, jf. Müller bd. 2, s. 186f.	1842	1842	14	En Digters Bazar	542	1	v14:542 (1842)	high	se-kort+place-type	
Godset Sæby	Godset Sæby	godset Mem i Tåby (Östergötland), som Edvard Fredrik von Saltza erhvervede sig 1803 og beboede fra 1804. På godset Sæby syd for Linköping opholdt H.C. Andersen sig 14.-20. juli 1849.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	96	1	v18:96 (1869)	high	head-noun+place-type+split-ellipsis	
Golfo di Catania	Catania-Bugten	Golfo di Catania, ud for byen Catania; se kort.	1842	1842	14	En Digters Bazar	358	1	v14:358 (1842)	high	se-kort	
Graabrødre Kirke	Graabrødre Kirke	Graabrødre Kirke, delvis nedrevet i 1828, var oprindelig klosterkirke i det gamle Gråbrødrekloster (ca. 1236-1533). En tofløjet bygning lidt nord for kirken blev på romanens tid i folkemunde kaldt Klostergaarden. ¶ Graabrødre Kirke, nedrevet 1817-1819.	1837	1837 1846	5 16	Kun en Spillemand	44	2	v5:44 (1837); v16:183 (1846)	high	head-noun+place-type	
Graabrødre-Kirke	Graabrødre-Kirke	den forfaldne klosterkirke, som var opført i 1280’erne, og hvis nedrivning påbegyndtes 1805, blev af de spanske hjælpetropper brugt til militært depot og kvarter.	1836	1836	11	Skilles og mødes	173	1	v11:173 (1836)	high	head-noun+place-type	
Granada	Granada	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Graven	Graven	Valdemar blev begravet i Vordingborg 1375, men blev to år senere flyttet til Sorø.	1833	1833	7	Aarets tolv Maaneder, Tegnede med Blæk og Pen	429	1	v7:429 (1833)	medium	located+place-type+split-ellipsis	
Greenwich	Greenwich	bydel i London; en kongelig residens i Greenwich er omtalt, mens Edvard 1. (konge 1272-1307) regerede. Henrik 5. (konge 1413-1422) opførte her slottet Bella Court, som bestod under skiftende navne og var genstand for ombygninger og, bl.a. under Elisabeth 1., for udvidelser. Elisabeth holdt hof her.	1774	1774	11	Festen paa Kenilworthengelsk by sydøst for Birmingham med ruiner af Kenilworth Slot.Kenilworth	47	1	v11:47 (1774)	high	head-noun+located+place-type	
Grotterne	Grotterne	under vandfaldet er to grotter, Grotta di Nettuno og Grotta delle Sirene.	1842	1842	14	En Digters Bazar	321	1	v14:321 (1842)	high	in-register	place-000073
Großenhain	Grosenhain	Großenhain; se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	171	1	v14:171 (1831)	high	se-kort	geo-2916630
Grund	Grund	(tysk) dal.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	150	1	v14:150 (1831)	high	head-noun+place-type	
Grönne Gade	Grönne Gade	Store Grønnegade {D5-D6} eller Lille Grønnegade (efter 1795: Ny Adelgade {E6}), gader i det indre København, som Bertel Thorvaldsen begge har boet i.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	391	1	v9:391 (1840)	high	head-noun+place-type	
Guadalaviar	Guadalaviar(s)	også kaldet Turia; flod, der munder ud i Middelhavet ved Valencia.	1863	1863	15	I Spanien	246	1	v15:246 (1863)	medium	located+place-type	
Guadalmedina	Guadalmedina(s)	flod, der løber igennem og udmunder i Málaga.	1863	1863	15	I Spanien	323	1	v15:323 (1863)	high	head-noun+place-type	
Guadalmedina-Floden	Guadalmedina-Floden	floden løber igennem den østlige del af byens centrum.	1863	1863	15	I Spanien	279	1	v15:279 (1863)	high	head-noun+place-type	
Guadalquivir	Guadalquivir	flod, der udspringer nord for Sierra Nevada og løber forbi Cordóba, Sevilla og dernæst ud i Cádiz-golfen, nord for byen Cádiz.	1863	1863	15	I Spanien	353	1	v15:353 (1863)	high	head-noun+located+place-type	
Guldkroken	Guldkroken	ældre navn på egnen omkring byen Hjo (se kort 2) på vestsiden af Vättern.	1851	1851	15	I Sverrig	37	1	v15:37 (1851)	high	se-kort+place-type	
Gurre	Gurre	kongeligt jagtslot ved Gurre Sø i Nordsjælland.			8	(untitled)	44	1	v8:44 ()	medium	located+place-type	
Gävle	Gefle	Gävle; se kort 1 og 2.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	high	se-kort	
Haarlem	Haarlem	by i Holland.	1849	1849	5	De to Baronesser	421	1	v5:421 (1849)	high	head-noun+located+place-type	
Haarlemmer	Haarlemmer(-Tulipaner)	fra Haarlem, by i Holland.	1829	1829	9	Fodreise fra Holmens Canal til Østpynten af Amager i Aarene 1828 og 1829	239	1	v9:239 (1829)	medium	located+place-type	
Hald	Hald	i dag navnet på en herregård beliggende sydvest for Viborg. Navnet har dog gennem tiden været knyttet til en række gårde og en borg, der alle har været beliggende i nærheden af den nuværende herregård. Muligvis gjaldt H.C. Andersens besøg det såkaldt tredje Hald – resterne af en bispeborg, der blev opført i 1528 – ved Hald Sø.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	medium	located+place-type+split-ellipsis	
Halland	Halland(s)	landskab i det vestlige Sydsverige langs Kattegatkysten mellem Skåne og Göteborg.	1851	1851	15	I Sverrig	13	1	v15:13 (1851)	high	head-noun+place-type	
Halle	Halle	se kort. ¶ hal.	1831	1831 1863	14 15	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	131	2	v14:131 (1831); v15:286 (1863)	high	in-register+se-kort	geo-2911522
Hallein	Hallein | Halleins Saltværk	by i Østrig med saltmine, hvorigennem besøgende kunne gå og rutsche ad meget stejle gange til bjergets fod. ¶ by 15 km syd for Salzburg; H.C. Andersen besøgte saltværket 3. juni. ¶ Hallein, by syd for Salzburg, hvis saltværk H.C. Andersen besøgte 3. juni 1831.	1851	1851 1855 1869	15 17 18	I Sverrig	124	3	v15:124 (1851); v17:162 (1855); v18:93 (1869)	high	head-noun+located+place-type+split-ellipsis	
Halliger	Halliger	øer med marskland ved Slesvigs vestkyst.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	287	1	v17:287 (1855)	high	head-noun+located+place-type	
Halligerne	Halligerne	ti ganske flade øer med marskland ved Slesvigs vestkyst. ¶ øgruppe på ti uindigede småøer i det Nordfrisiske Vadehav ved Slesvig-Holstens vestkyst.	1846	1846 1849	5 16	Mit eget Eventyr uden Digtning	290	2	v16:290 (1846); v5:355 (1849)	high	located+place-type+head-noun	
Hamborg	Hamborg	se kort.	1842	1842	14	En Digters Bazar	221	2	v14:221 (1842); v14:576 (1842)	high	se-kort	
Hamilton	Hamilton	byen Hamilton i Skotland (sydvest for Glasgow), hvorfra David Livingstone oprindelig kom, og hvor en stor del af hans familie var bosat. ¶ 30. juli 1849 ankom H.C. Andersen til grev Hugo David Hamiltons gods på Hönsäter ved Venerns østkyst, 31. juli besøgtes bjerget Kinnekulle og 1. august fortsatte H.C. Andersen videre til grev Hamiltons søn, Adolf Ludvig Hamilton, på Blomberg, som var gift med historikeren Erik Gustaf Geijers datter, Agnes. Den 2. august fortsatte han fra Hellekis med damperen til Venersborg.	1869	1869 1872	9 18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	104	2	v18:104 (1869); v9:555 (1872)	high	head-noun+place-type+located+split-ellipsis	
Hamlets Grav	Hamlets Grav	Marienlyst Slot lidt nord for Helsingør skulle efter dronning Juliane Maries død 1796 have været hofslot; i den anledning anlagdes nær slottet en romantisk have, »Hamlets have«, med bl.a. en gravhøj, der kaldtes »Hamlets grav«. Slottet kom dog ikke til at huse hoffet.	1836	1836	11	Skilles og mødes	200	1	v11:200 (1836)	medium	located+place-type	
Hannoveransk	Hannoveransk (Side)	dvs. sydvestlig el. niedersachsisk; se kort.	1842	1842	14	En Digters Bazar	224	1	v14:224 (1842)	high	se-kort	
Harburg	Haarburg	Harburg; se kort.	1842	1842	14	En Digters Bazar	230	1	v14:230 (1842)	high	se-kort	geo-2910685
Hartzgerode	Hartzgerode	se kort.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	125	1	v14:125 (1831)	high	se-kort	
Havblik	Havblik	havet ved vindstille, blank vandflade.	1840	1840	9	Billedbog uden Billederjf. den tyske komponist Felix Mendelssohn-Bartholdys (1809-1847) klaverstykker <i>Lieder ohne Worte</i>, 1829-1845 (sange uden ord).Billedbog uden Billeder	394	1	v9:394 (1840)	high	head-noun+place-type	
Haven	Haven(s) | Haven	Frederiksberg Have ved Frederiksberg Slot.	1855	1855	8 17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	37	2	v17:37 (1855); v8:55 ()	medium	located+place-type	
Hekla	Hekla | Hekla(s)	vulkan på Sydisland.	1853	1853	2 8	Om Aartusinder	73	2	v2:73 (1853); v8:53 ()	high	head-noun+located+place-type	
Helicon	Helicon(s)	bjerg i Boiotien i Grækenland; if. græsk mytologi var det opholdssted for musikkens og digtningens gud Apollon og de ni muser, som var gudinder for hver deres område inden for kunst og videnskab og havde Apollon som anfører.	1853	1853	13	Indledning til Carnevalet	185	1	v13:185 (1853)	high	head-noun+located+place-type	
Hellig Anders Kors	Hellig Anders Kors	Anders var if. traditionen præst ved St. Peders Kirke i Slagelse ca. 1200; hans kors står paa Hvilehøj 3,5 km sydvest for Slagelse, tæt ved landevejen til Korsør. ¶ krucifiks til minde om Hellig Anders, præst ved Skt. Peders Kirke i Slagelse, rejst på Hvilehøj vest for Slagelse, hvor en legende fortæller, at han vågnede påskedag, efter at være faldet i søvn i Jerusalem.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	213	2	v16:213 (1846); v17:67 (1855)	medium	located+place-type	
Hendrik Løves Kobberløve	Hendrik Løves Kobberløve	Heinrich der Löwe rejste i 1166 Löwendenkmal (Löwe-mindesmærke) ved borgen i Braunschweig, der stammer fra 1100-tallet.	1831	1831	14	Skyggebilleder af en Reise til Harzen, det sachsiske Schweitz etc. etc., i Sommeren 1831	86	1	v14:86 (1831)	medium	located+place-type	
