place	lemma_andersen	explanation	year	years	volumes	work	page	occurrences	references	confidence	evidence	geo_id
de revolutionaire Bevægelser	de revolutionaire Bevægelser	den borgerlige revolution i Spanien 1868-1874 førte til udråbelse af republikken og dronning Isabellas afgang, men endte med et statskup 1874. ¶ den borgerlige revolution i Spanien 1868-1874 førte til republikkens udråbelse og dronning Isabellas afgang, men endte med et statskup i 1874.	1868	1868 1869	15 18	Et Besøg i Portugal 1866	424	2	v15:424 (1868); v18:309 (1869)	medium	located+place-type	
Den Collinske Gaard	det Huus	Den Collinske Gaard, en gammel bindingsværksbygning, lå i Bredgade på det nuværende nr. 4’s plads, ved siden af Kanneworffs hus. Nedrevet 1853.	1846	1846	16	Mit eget Eventyr uden Digtning	207	1	v16:207 (1846)	medium	located+place-type	
den gamle catholske Bispegaard	den gamle catholske Bispegaard	ruinerne af en stor bispegård fra 1400-tallet.	1851	1851	15	I Sverrig	25	1	v15:25 (1851)	high	head-noun+place-type	
den gamle Thelegraf-Bestyrer … Skolemester	den gamle Thelegraf-Bestyrer … Skolemester	Fedder Carstens havde i 1810 i Odense oprettet en drengeskole, hvis elever bl.a. talte H.C. Andersen. I perioden maj 1813-august 1814 var han ansat ved den optiske telegraf på Tåsinge.	1832	1832	16	Levnedsbog	161	1	v16:161 (1832)	medium	located	
den lille, snevre, trykkede Skueplads	den lille, snevre, trykkede Skueplads	først i sommeren 1850 ombyggedes og udvidedes scenen i Casino.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	112	1	v18:112 (1869)	medium	located	
den nye Bro	den nye Bro	bro opført i støbejern 1850 til aflastning for den middeladerlige bro fra o. 1391.	1860	1860	15	Berlingske politiske Avertissements-Tidende	167	1	v15:167 (1860)	high	head-noun+place-type	
den smukke Aae	den smukke Aae	Odense Å. Fyns længste vandløb, ca. 60 km langt.	1832	1832	16	Levnedsbog	114	1	v16:114 (1832)	high	head-noun+place-type	
den tilfygede … Kirke	den tilfygede … Kirke	kirken, Sankt Laurentius, er fra begyndelsen af 1400-tallet og blev nedlagt i 1795; den var forfalden og man opgav at redde den fra sandflugten.	1860	1860	15	Folkekalender for Danmark	187	1	v15:187 (1860)	high	head-noun+place-type	
den unge Kats Klage	den unge Kats Klage	H.C. Andersens ungdomsdigt »Dalen og Bjergtoppen« fik i Fodreise en ironisk drejning og blev lagt i munden på en kat i digtet »Før og Nu«, (se denne udgaves bd. 9, s. 174-175).	1846	1846	16	Mit eget Eventyr uden Digtning	217	1	v16:217 (1846)	medium	located+place-type	
den uskyldige By	den uskyldige By	Faaborg.	1832	1832	16	Levnedsbog	161	1	v16:161 (1832)	high	head-noun+place-type	
den Venus … sit Bjerg	den Venus … sit Bjerg	ifølge en tysk middelalderlig tradition beboede fru Venus et bjerg i Tyskland og levede her et vellystigt levned med mænd, der lod sig lokke ind i bjerget uden nogensinde at kunne komme ud igen.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	233	1	v17:233 (1855)	medium	located+place-type	
der var jo Oehlenschläger … Hædersbesøg i Stockholm	der var jo Oehlenschläger … Hædersbesøg i Stockholm	Adam Oehlenschläger havde juli-august 1847 været i Sverige og der bl.a. tilbragt tre uger i Stockholm, jf. Erindringer, bd. 4, 1851: »Det vilde moret Dig at være tilstede ved Kunstforeningens Fest i den botaniske Hauge, da de Stockholmske Damer kom en masse med Blomster, som de kastede til mig, medens jeg maatte gjøre Touren en halv Snees Gange omkring i deres Vrimmel (de opfyldte hele Haven)« (s. 275); begivenheden omtales (med to små billeder) i Corsaren, nr. 359, 6. august 1847.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	89	1	v18:89 (1869)	medium	located	
det afskyelige Attentat	det afskyelige Attentat	26. juli 1844 foretog en afskediget borgmester fra Storkow i Brandenburg, Heinrich Ludwig Tschech, et mislykket pistolattentat mod Friedrich Wilhelm 4. og dronning Elisabeth; han blev henrettet 14. december 1844 i Spandau.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	286	1	v17:286 (1855)	medium	located	
det blaa Taarn	det blaa Taarn	tårn i det tidligere Københavns Slot, der blev brugt som fængsel til prominente fanger.	1851	1851	15	I Sverrig	92	1	v15:92 (1851)	high	head-noun+place-type	
det danske Folkesagn … Vissenberg	det danske Folkesagn … Vissenberg	Vissenbjerg ligger ca. 10 km vest for Odense. Ifølge sagnet holdt en røverbande til her i dybe gange under landevejen. Når en vogn passerede, ringede ophængte klokker. Jf. Thiele 1, 2, s. 11-14. H.C. Andersens stykke blev ikke udgivet som helhed i hans levetid.	1832	1832	16	Levnedsbog	92	1	v16:92 (1832)	high	head-noun+place-type	
det gamle Belem	det gamle Belem	forstad til Lissabon; der tænkes antagelig på Torre de Belém, Bethlehemstårnet, et 35 m højt, rigt ornamenteret fort fra 1515-1521, beliggende midt i Tejo-floden.	1868	1868	15	Et Besøg i Portugal 1866	445	1	v15:445 (1868)	high	head-noun+located+place-type	
det gamle Slot	det gamle Slot	kongeslottet Paço Real, nu kaldt Palácio Nacional de Sintra, bygget af João 1. i slutningen af 1300-tallet, tilbygninger i maurisk stil fra begyndelsen af 1500-tallet, residens til 1880’erne. ¶ det nuværende slot er opført 1498 af Ludvig 12.	1868	1868 1869	15 18	Et Besøg i Portugal 1866	431	2	v15:431 (1868); v18:267 (1869)	high	head-noun+place-type	
die Fürsten-Gruft	die Fürsten-Gruft	(tysk) fyrstekrypten; storhertug Carl Augusts mausoleum på kirkegården i Weimar (opført 1823-1827), hvor også storhertuginde Louise, Friedrich v. Schiller (hvis jordiske rester overførtes hertil i december 1827) og J.W. v. Goethe er bisat.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	280	1	v17:280 (1855)	medium	located	
Dijon	Dijon	by i det sydøstlige Frankrig ca. 120 km fra grænsen til Schweiz.	1869	1869	15	For Romantik og Historie	482	1	v15:482 (1869)	high	head-noun+place-type	
Dom	Dom	domkirke.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	127	1	v17:127 (1855)	high	head-noun+place-type	
Domkirke	Domkirke	den gotiske katedral Saint-Pierre de Poitiers, grundlagt 1162.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	266	1	v18:266 (1869)	high	head-noun+place-type	
Domkirken	Domkirken	kirken El Salvador er påbegyndt i 1300-tallet og fik status af domkirke i 1500-tallet, da Orihuela blev bispedømme. ¶ den gotiske katedral Saint André, grundlagt 1096.	1863	1863 1869	15 18	I Spanien	258	2	v15:258 (1863); v18:266 (1869)	high	head-noun+place-type	
Domkirken … Øiesyn	Domkirken … Øiesyn	domkirken blev påbegyndt 1262, dvs. Cid har ikke kunnet overse byen fra kirkens tårn.	1863	1863	15	I Spanien	245	1	v15:245 (1863)	high	head-noun+place-type	
Doubfald	Doubfald	vandfald i Doubfloden tæt på Le Locle.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	123	1	v17:123 (1855)	high	head-noun+located+place-type	
Dresden	Dresden	H.C. Andersen ankommer til Dresden 3. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	90	1	v17:90 (1855)	high	in-register	geo-2935022
Dronningens Palais	Dronningens Palais	slottet fra 1359-1362 på Plaça del Rei var da residens for Isabel 2.	1863	1863	15	I Spanien	230	1	v15:230 (1863)	high	head-noun+located+place-type	
Ecija	Ecija	se kort.	1863	1863	15	I Spanien	369	1	v15:369 (1863)	high	se-kort	
Edgar Collin	Edgar Collin	søn af Gottlieb Collin, Jonas Collins ældste søn; han kom 4. august til München og ledsagede den 8. august H.C. Andersen over Ulm og Stuttgart til det württembergske Badested Wildbad, hvor de opholdt sig 11.-15. Den 15. fortsatte de over Karlsruhe, Freiburg, Schaffhausen, Zürich og Luzern og kom den 20. til Brunnen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	185	1	v18:185 (1869)	medium	located	
Edinburgh	Edinburgh	hovedstaden i Skotland.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	high	head-noun+located+place-type	
een af de mindste Byer	een af de mindste Byer	Fåborg.	1846	1846	16	Mit eget Eventyr uden Digtning	223	1	v16:223 (1846)	high	head-noun+place-type	
Eggert Christopher Tryde	Provst Tryde	Eggert Christopher Tryde, sognepræst ved Vor Frue Kirke; C.E. Trydes tale er gengivet i Hans Christian Ørsteds Jordefærd, 1851, s. 19-29.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	126	1	v18:126 (1869)	medium	located+place-type	
Einsiedeln	Einsiedeln	kloster og valfartssted i en sidedal i kanton Schwyz, godt 30 km fra Brunnen, hvortil H.C. Andersen kom 14. juli.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	240	1	v18:240 (1869)	high	head-noun+place-type	
El Escorial	Escorial	El Escorial, landsby 42 km uden for Madrid (se kort), hvor Filip 2. lod bygge et palads og kloster, San Lorenzo del Escorial 1563-1567, der samtidig skulle fungere som kongelig begravelsesplads.	1863	1863	15	I Spanien	384	1	v15:384 (1863)	high	se-kort+located+place-type	
Elche	Elche	byen passeredes den 23. september på veje til Murcia, hvor de blev til den 26.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	254	1	v18:254 (1869)	high	head-noun+place-type	
Elche Murcia	Elche (til) Murcia	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Elfkarleby Fald	Elfkarleby Fald	Dalälvens nederste og største vandfald ved Älvkarleby (se kort 2), nu vandkraftværk.	1851	1851	15	I Sverrig	117	1	v15:117 (1851)	high	se-kort+located+place-type	
Ellora	Ellora	by i Indien, der er kendt for et kompleks af 34 templer, der er udhugget i klipperne i byens omegn.	1851	1851	15	I Sverrig	26	1	v15:26 (1851)	high	head-noun+located+place-type	
en gammel Herregaard	en gammel Herregaard	Nakkebølle. Hovedgård beliggende 7 km øst for Faaborg.	1832	1832	16	Levnedsbog	164	1	v16:164 (1832)	medium	located+place-type	
en gammel Præst	en gammel Præst	formodentlig Niels Studsgaard Fuglsang, sognepræst ved St. Mikkels Kirke.	1846	1846	16	Mit eget Eventyr uden Digtning	212	1	v16:212 (1846)	medium	located+place-type	
En Hr Boas	En Hr Boas	forfatteren Eduard Boas havde 1843 på vej fra Norge besøgt København, hvor H.P. Holst tog sig af ham. Sine rejseindtryk samlede han i bogen In Scandinavien. Nordlichter, 1845, der afsluttes med en artikel »Die dänische Poesie der Gegenwart«, tidligere trykt i tidsskriftet Die Grenzboten. H.C. Andersen omtales s. 314-321. If. Boas er af danske digtere kun Oehlenschläger og Andersen kendt i Tyskland; imidlertid er der andre, der vurderes betydeligt højere i Danmark. Boas genfortæller derpå H.C. Andersens biografi (efter Jenssen), roser eventyrene, men kritiserer romanerne (navnlig Kun en Spillemand) og En Digters Bazar, især fordi H.C. Andersen her stadig stiller sit eget jeg i forgrunden. Forfængelighed går som en rød tråd gennem alle hans værker, »und eitel ist Andersen über die Maaßen. Das Lob gehört ihm zur Lebesluft, jeder Tadel verletzt ihn schneidend (...) Er kennt alle die kleinen Toilettenkünste der Literatur, macht sich den theatralischen Apparat gehörig zu Nutz, und weiß sogar mit seiner romantischen Lebensgeschichte zu kokettieren« (s. 319-320).	1846	1846	16	Mit eget Eventyr uden Digtning	277	1	v16:277 (1846)	medium	located+place-type	
en lille Sum	en lille Sum	if. manuskriptet til Mit Livs Eventyr 200 rigsdaler, tjent på Fuglen i Pæretræet.	1846	1846	16	Mit eget Eventyr uden Digtning	270	1	v16:270 (1846)	medium	located	
en lykkelig Moder	en lykkelig Moder	Riborg fik ni børn. ¶ Riborg fik i alt ni børn.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	224	2	v16:224 (1846); v17:87 (1855)	high	head-noun+place-type	
en Præst	en Præst	muligvis sognepræst i Osted, Gustav Ludvig Schiern.	1832	1832	16	Levnedsbog	128	1	v16:128 (1832)	medium	located	
en Roman	en Roman	Slottet ved Rhinen, 1845. I romanen optræder den forfængelige digter Eginhard, der ender som sindssyg. Figuren er et ætsende portræt af H.C. Andersen, der da også følte sig ramt.	1846	1846	16	Mit eget Eventyr uden Digtning	238	1	v16:238 (1846)	high	head-noun+located+place-type	
Estrella	Estrella	se kort.	1868	1868	15	Et Besøg i Portugal 1866	461	1	v15:461 (1868)	high	se-kort	
et Akropolis	et Akropolis	borg i de oldgræske byer, ofte placeret på et højdedrag.	1868	1868	15	Et Besøg i Portugal 1866	445	1	v15:445 (1868)	high	head-noun+place-type	
Etna	Ætna	Etna; vulkan på Sicilien.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	216	1	v17:216 (1855)	high	head-noun+located+place-type	
Ettersburg	Ettersburg	jagtslottet Schloß Ettersburg i Thüringerwald nordvest for Weimar.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	278	1	v17:278 (1855)	high	head-noun+place-type	
F.L.B. Zeuthen	Zeuthen	F.L.B. Zeuthen, sognepræst i Sorø 1849-1860.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	250	1	v18:250 (1869)	medium	located	
Fahlun … dansk Udgave	Fahlun … dansk Udgave	by i Dalarne, Sverige, hvor Fodreise blev udgivet 1841 af P.A. Huldbergs Forlag i samlingen »Danske Klassiker«.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	80	1	v17:80 (1855)	high	head-noun+located+place-type	
Falun	Fahlun(s) | Fahlun	Falun; se kort 1-2.	1851	1851	15	I Sverrig	22	2	v15:22 (1851); v15:108 (1851)	high	se-kort	
Familien	Familien	Borreby ejedes af cand.jur. Adolph Frederik Holten Castenschiold, gift med en datter af den unge H.C. Andersens velgører, notarius publicus, etatsraad G.H. Olsen.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	224	1	v18:224 (1869)	high	head-noun+place-type	
Fest for »Madonna del Arco«	Fest for »Madonna del Arco«	jf. Dagbogen 1. juni 1846; madonnabilledet står i en bue på en bro på Monte Virginie ved Napoli. August Bournonville var på sin udenlandsrejse i 1841 i Napoli og skildrede sine indtryk af festen for Madonna del àrco i Mit Theaterliv, 1848, s. 160-162; over disse indtryk komponerede han 3. akt af balletten Napoli, der opførtes 1. gang på Det Kgl. Teater 29. marts 1842. H.C. Andersen var 29. maj 1846 vendt tilbage til Napoli.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	332	1	v17:332 (1855)	medium	located+place-type	
Figueras	Figueras	se kort.	1863	1863	15	I Spanien	223	1	v15:223 (1863)	high	se-kort	
Firenze	Florents	Firenze; se kort.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	491	1	v15:491 (1870)	high	se-kort	
Florents	Florents	tysk for Firenze; se kort.	1861	1861	15	Dagbladet	215	1	v15:215 (1861)	high	se-kort	
Fluvia	Fluvia	se kort.	1863	1863	15	I Spanien	224	1	v15:224 (1863)	high	se-kort	
Foligno	Foligno	den mellemitalienske by Foligno (Fuligno).	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	134	1	v17:134 (1855)	high	head-noun+place-type	
Frascati	Frascati	by 21 km sydøst for Rom.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	137	1	v17:137 (1855)	high	head-noun+located+place-type	
Frederik Ferdinand Biering	Præsten	Frederik Ferdinand Biering, siden 1848 sognepræst i Svindinge.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	131	1	v18:131 (1869)	medium	located	
Frederiksborg Slot	Frederiksborg Slot	Frederiksborg Slot brændte natten mellem den 16. og 17. december 1859.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	223	1	v18:223 (1869)	high	in-register+head-noun+place-type	geo-2621938
Frederikshavn	Fladstrand	Frederikshavn, hvor H.C. Andersen opholdt sig 11.-16. august.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	217	1	v18:217 (1869)	high	head-noun+place-type	
Freiburg	Freiburg	Freibourg eller Fribourg, by i det vestlige Schweiz ved floden Saane; se kort.	1861	1861	15	Illustreret Tidende	209	1	v15:209 (1861)	high	se-kort+place-type	
fri Adgang	fri Adgang	det er usandsynligt, at H.C. Andersen skulle have fået fri adgang til Det Kgl. Teater før sin første opførelse, dvs. af Kjærlighed paa Nicolai Taarn, som havde premiere 25. april 1829.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	80	1	v17:80 (1855)	medium	located	
Friedrich August Leo	Dr. Leo	Friedrich August Leo, uddannet boghandler, havde en tid stået i lære i Andreas Frederik Høsts boghandel i København og været i huset hos Mendel Levin Nathanson; fra sin tid i København kendte han bl.a. H.C. Andersen og Henrik Hertz, hvis skuespil Kong René’s Datter, 1845, han 1846 havde udgivet i en tysk oversættelse. Da H.C. Andersen 1849 traf ham i Stockholm, var han redaktør af Carl B. Lorcks tidsskrift Nordischer Telegraph.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	86	1	v18:86 (1869)	medium	located	
Frijsenborg	Frijsenborg	hovedgård 2 km nordøst for Hammel ejet af konseilspræsident, lensgreve C.E. Krag-Juel-Vind-Frijs. H.C. Andersen opholdt sig her 12.-30. juni og igen 8.-15. juli.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	282	1	v18:282 (1869)	high	head-noun+located+place-type	
Frue Kirke	Frue Kirke	Vor Frue Kirke i Odense.	1832	1832	16	Levnedsbog	64	1	v16:64 (1832)	medium	located+place-type	
Fusina	Fusina	kystby på fastlandet vest for Venezia.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	155	1	v17:155 (1855)	high	head-noun+located+place-type	
Fyrisaa	Fyrisaa	å, der løber igennem Uppsala og ud i Mälaren.	1851	1851	15	I Sverrig	69	1	v15:69 (1851)	high	head-noun+located+place-type	
Fyrste Graven	Fyrste Graven	storhertug Carl Augusts mausoleum på kirkegården i Weimar, hvor også Storhertuginde Louise, f. prinsesse af Hessen-Darmstadt, Goethe og Schiller er bisat.	1846	1846	16	Mit eget Eventyr uden Digtning	286	1	v16:286 (1846)	medium	located	
Fødeby – Bogense	Fødeby – Bogense	H.C. Andersens mormor Anne Sørensdatter levede i Bogense fra 1804 til sin død 1825, men hans mor er ikke født der.	1846	1846	16	Mit eget Eventyr uden Digtning	189	1	v16:189 (1846)	medium	located	
Gallipoli	Gallipoli	den tyrkiske havneby Gelibolu på den europæiske side af Dardanellerne.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	219	1	v17:219 (1855)	high	head-noun+place-type	
Gammelholm	Gammel Holm	Gammelholm; bydel i København beliggende på det tidligere Bremerholm ud mod Amager.	1832	1832	16	Levnedsbog	84	1	v16:84 (1832)	high	head-noun+located+place-type	
Genfersøen	Genfersøen(s)	Genève søen, Lac Léman.	1868	1868	15	Et Besøg i Portugal 1866	468	1	v15:468 (1868)	high	head-noun+place-type	
Genova	Genua	Genova, italiensk havneby ved Det Liguriske Hav.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	medium	located+place-type	
Genua	Genua	stor handels- og havneby, tidligere selvstændig republik, 1814-1861 del af kongeriget Sardinien; se kort; jf. Dagbøger I, s.191-197.	1870	1870	15	Breve fra og til Hans Christian Ørsted, 2. Samling	490	1	v15:490 (1870)	high	se-kort+place-type	
Gibraltar	Gibraltar	se kort. H.C. Andersen opholdt sig her 30. oktober-2. november 1862.	1863	1863	15	I Spanien	322	1	v15:322 (1863)	high	se-kort	
gifte sig … een af min Faders Venner	gifte sig … een af min Faders Venner	Anne Marie Andersdatter blev 8. juli 1818 i Sankt Knuds Kirke i Odense viet til Niels Jørgen Gundersen.	1832	1832	16	Levnedsbog	70	1	v16:70 (1832)	medium	located+place-type	
Gisselfeld	Familien Danneskjold paa Gisselfeld	Gisselfeld, hovedgård nordøst for Næstved, testamenteredes 1701 til Gisselfeld Adelige Jomfrukloster; klosterets leder har siden været et medlem af slægten Danneskiold-Samsøe.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	233	1	v17:233 (1855)	medium	located+place-type	
Gisselfeldt	Gisselfeldt	hovedgård på Sjælland 14 km nordøst for Haslev.	1846	1846	16	Mit eget Eventyr uden Digtning	261	1	v16:261 (1846)	high	head-noun+located+place-type	
Glorup	Glorup	hovedgård i Gudme Herred, 13 km syd for Nyborg; ejeren var geheimekonferensråd, grev Gebhard Moltke-Hvitfeldt; H.C. Andersen besøgte gården 1. gang 1839, siden 23 gange.	1846	1846	16	Mit eget Eventyr uden Digtning	245	1	v16:245 (1846)	high	head-noun+located+place-type	
Goa	Goa	førende handelsby på Malabarkysten, nu kun ruinby.	1868	1868	15	Et Besøg i Portugal 1866	438	1	v15:438 (1868)	high	head-noun+located+place-type	
Graabrødre Kirke	gammel … Kirke	Graabrødre Kirke, nedrevet 1817-1819.	1846	1846	16	Mit eget Eventyr uden Digtning	183	1	v16:183 (1846)	high	head-noun+place-type	
Granada	Granada	se kort.	1863	1863	15	I Spanien	256	1	v15:256 (1863)	high	se-kort	
Guadalaviar	Guadalaviar(s)	også kaldet Turia; flod, der munder ud i Middelhavet ved Valencia.	1863	1863	15	I Spanien	246	1	v15:246 (1863)	medium	located+place-type	
Guadalmedina	Guadalmedina(s)	flod, der løber igennem og udmunder i Málaga.	1863	1863	15	I Spanien	323	1	v15:323 (1863)	high	head-noun+place-type	
Guadalmedina-Floden	Guadalmedina-Floden	floden løber igennem den østlige del af byens centrum.	1863	1863	15	I Spanien	279	1	v15:279 (1863)	high	head-noun+place-type	
Guadalquivir	Guadalquivir	flod, der udspringer nord for Sierra Nevada og løber forbi Cordóba, Sevilla og dernæst ud i Cádiz-golfen, nord for byen Cádiz.	1863	1863	15	I Spanien	353	1	v15:353 (1863)	high	head-noun+located+place-type	
guldførende Darro	guldførende Darro	floden løber fra øst igennem Granada og har været guldholdig, jf. Hackländer 2 s. 252 »ihren goldführenden Sand«.	1863	1863	15	I Spanien	292	1	v15:292 (1863)	high	head-noun+located+place-type	
Guldkroken	Guldkroken	ældre navn på egnen omkring byen Hjo (se kort 2) på vestsiden af Vättern.	1851	1851	15	I Sverrig	37	1	v15:37 (1851)	high	se-kort+place-type	
Gävle	Gefle	Gävle; se kort 1 og 2.	1851	1851	15	I Sverrig	118	1	v15:118 (1851)	high	se-kort	
Haase	Haase	Karl August von Hase, professor i kirkehistorie i Jena.	1846	1846	16	Mit eget Eventyr uden Digtning	313	1	v16:313 (1846)	medium	located	
Hald … Indsøe	Hald … Indsøe	i dag navnet på en herregård beliggende sydvest for Viborg. Navnet har dog gennem tiden været knyttet til en række gårde og en borg, der alle har været beliggende i nærheden af den nuværende herregård. Muligvis gjaldt H.C. Andersens besøg det såkaldt tredje Hald – resterne af en bispeborg, der blev opført i 1528 – ved Hald Sø.	1832	1832	16	Levnedsbog	159	1	v16:159 (1832)	medium	located+place-type	
Halland	Halland(s)	landskab i det vestlige Sydsverige langs Kattegatkysten mellem Skåne og Göteborg.	1851	1851	15	I Sverrig	13	1	v15:13 (1851)	high	head-noun+place-type	
Halle	Halle	hal.	1863	1863	15	I Spanien	286	1	v15:286 (1863)	high	in-register	geo-2911522
Hallein	Halleins Saltværk	Hallein, by syd for Salzburg, hvis saltværk H.C. Andersen besøgte 3. juni 1831.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	93	1	v18:93 (1869)	medium	located+place-type	
Hallein … Saltkogeriet	Hallein … Saltkogeriet	by i Østrig med saltmine, hvorigennem besøgende kunne gå og rutsche ad meget stejle gange til bjergets fod.	1851	1851	15	I Sverrig	124	1	v15:124 (1851)	high	head-noun+located+place-type	
Hallein … Saltværket	Hallein … Saltværket	by 15 km syd for Salzburg; H.C. Andersen besøgte saltværket 3. juni.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	high	head-noun+located+place-type	
Halliger	Halliger	øer med marskland ved Slesvigs vestkyst.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	287	1	v17:287 (1855)	high	head-noun+located+place-type	
Halligerne	Halligerne	øgruppe på ti uindigede småøer i det Nordfrisiske Vadehav ved Slesvig-Holstens vestkyst.	1846	1846	16	Mit eget Eventyr uden Digtning	290	1	v16:290 (1846)	high	head-noun+place-type	
Hartmanns Sørgemarsch … Thorvaldsens Jordefærd	Hartmanns Sørgemarsch … Thorvaldsens Jordefærd	J.P.E. Hartmanns Sørgemarch ved Thorvaldsens Bisættelse, 1844.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	127	1	v18:127 (1869)	medium	located	
Harzen	Harzen	nordligt beliggende bjergområde i Tyskland.	1851	1851	15	I Sverrig	124	1	v15:124 (1851)	medium	located	
Haven	Haven	Frederiksberg Have ved Frederiksberg Slot.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	37	1	v17:37 (1855)	medium	located+place-type	
Hedemora eller Brunnbäck	Hedemora eller Brunnbäck	se kort 2.	1851	1851	15	I Sverrig	82	1	v15:82 (1851)	high	se-kort	
Hellig Anders Kors	Hellig Anders Kors	Anders var if. traditionen præst ved St. Peders Kirke i Slagelse ca. 1200; hans kors står paa Hvilehøj 3,5 km sydvest for Slagelse, tæt ved landevejen til Korsør. ¶ krucifiks til minde om Hellig Anders, præst ved Skt. Peders Kirke i Slagelse, rejst på Hvilehøj vest for Slagelse, hvor en legende fortæller, at han vågnede påskedag, efter at være faldet i søvn i Jerusalem.	1846	1846 1855	16 17	Mit eget Eventyr uden Digtning	213	2	v16:213 (1846); v17:67 (1855)	medium	located+place-type	
hendes Søn	hendes Søn	Georg Laurids Anholm blev student 1865 fra Borgerdydskolen på Christianshavn.	1869	1869	18	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	283	1	v18:283 (1869)	medium	located+place-type	
Herat	(Perser fra) Herat	oaseby i det vestlige Afghanistan.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	216	1	v17:216 (1855)	high	head-noun+place-type	
Herculanum	Herculanum	oldtidsby, der sammen med Pompeji og Stabiae blev begravet ved Vesuvs udbrud 79 e.Kr. ¶ oldtidsby, der sammen med Pompeji og Stabiae blev begravet ved Vesuvs udbrud 79 e.Kr.; H.C. Andersen var her 8. marts 1841.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	153	2	v17:153 (1855); v17:215 (1855)	high	head-noun+place-type	
Herregaarden	Herregaarden	den nuværende herregård blev bygget i 1700-tallet.	1851	1851	15	I Sverrig	119	1	v15:119 (1851)	high	head-noun+place-type	
Hietzing	Hitzing	Hietzing, forstad til Wien.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	162	1	v17:162 (1855)	medium	located+place-type	geo-2776421
Hjälmaren	Hjelmaren	Hjälmaren; se kort 2.	1851	1851	15	I Sverrig	20	1	v15:20 (1851)	high	se-kort	
Hoftheatret paa Dandseskolen	Hoftheatret paa Dandseskolen	Det Kgl. Teaters danseskole havde til huse på Hofteatret på Christiansborg.	1832	1832	16	Levnedsbog	84	1	v16:84 (1832)	medium	located+place-type	
Hradschin	Hradschin	tysk navn for Hradcˇany, gammel bydel i Prag.	1855	1855	17	Mit Livs Eventyr (inklusive Fortsættelse og Tillæg)	321	1	v17:321 (1855)	medium	located+place-type	
